,symbol,name,price,change,volumne
2424,SONG.L,Hipgnosis Songs Ord,109.65,+5.30,10.118M
2425,DLG.L,Direct Line Insurance Group plc,195.05,-0.65,13.837M
2426,TYM.L,Tertiary Minerals plc,195.05,0.0000,13.259M
2427,0HB1.IL,"Casino, Guichard-Perrachon S.A.",195.05,-1.1449,13.231M
2428,QLT.L,Quilter plc,195.05,+2.50,13.383M
2429,MRIT.L,Merit Group plc,195.05,0.00,15.125M
2430,HMSO.L,Hammerson plc,195.05,+1.26,16.32M
2431,HLN.L,Haleon plc,195.05,+3.10,12.739M
2432,3SMI.L,GRANITESHARES FINANCIAL PLC GRA,195.05,+0.0004,26.502M
2433,SMT.L,Scottish Mortgage Investment Trust plc,195.05,+9.60,12.239M
2434,PHE.L,PowerHouse Energy Group plc,195.05,-0.0100,12.451M
2435,BW80.L,,195.05,0.00,82.2M
2436,SY11.L,,195.05,-0.12,82.6M
2437,FB88.L,,195.05,+4.24,0
2438,67UB.L,,195.05,+29.61,81.8M
2439,LGEN.L,Legal & General Group Plc,195.05,-1.10,11.959M
2440,JDL.XC,JD Sports Fashion Plc,195.05,+19.05,11.238M
2441,0OI0.L,Archos S.A.,195.05,-0.0071,12.864M
2442,OMI.L,Orosur Mining Inc.,195.05,+1.2000,10.931M
2443,NEO.L,Paysafe Group Plc,195.05,-0.0500,11.716M
2444,TW.L,Taylor Wimpey plc,195.05,-3.20,10.853M
2445,0BDR.IL,Borr Drilling Limited,195.05,+54.03,10.479M
2446,ANGS.L,Angus Energy plc,195.05,-0.0500,10.485M
2447,ASLR.AQ,Asimilar Group Plc,195.05,0.0000,10.363M
2448,SONG.L,Hipgnosis Songs Ord,195.05,+5.30,10.118M
2449,36EL.L,GlaxoSmithKline Capital plc 4% GTD SNR EMTN 16/06/25 EUR1000'8''REGS,195.05,+0.11,15M
2450,TYM.L,Tertiary Minerals plc,0.0625,0.0000,13.259M
2451,0HB1.IL,"Casino, Guichard-Perrachon S.A.",0.0625,-1.1449,13.231M
2452,QLT.L,Quilter plc,0.0625,+2.50,13.383M
2453,MRIT.L,Merit Group plc,0.0625,0.00,15.125M
2454,HMSO.L,Hammerson plc,0.0625,+1.26,16.32M
2455,HLN.L,Haleon plc,0.0625,+3.10,12.739M
2456,3SMI.L,GRANITESHARES FINANCIAL PLC GRA,0.0625,+0.0004,26.502M
2457,SMT.L,Scottish Mortgage Investment Trust plc,0.0625,+9.60,12.239M
2458,PHE.L,PowerHouse Energy Group plc,0.0625,-0.0100,12.451M
2459,BW80.L,,0.0625,0.00,82.2M
2460,SY11.L,,0.0625,-0.12,82.6M
2461,FB88.L,,0.0625,+4.24,0
2462,67UB.L,,0.0625,+29.61,81.8M
2463,LGEN.L,Legal & General Group Plc,0.0625,-1.10,11.959M
2464,JDL.XC,JD Sports Fashion Plc,0.0625,+19.05,11.238M
2465,0OI0.L,Archos S.A.,0.0625,-0.0071,12.864M
2466,OMI.L,Orosur Mining Inc.,0.0625,+1.2000,10.931M
2467,NEO.L,Paysafe Group Plc,0.0625,-0.0500,11.716M
2468,TW.L,Taylor Wimpey plc,0.0625,-3.20,10.853M
2469,0BDR.IL,Borr Drilling Limited,0.0625,+54.03,10.479M
2470,ANGS.L,Angus Energy plc,0.0625,-0.0500,10.485M
2471,ASLR.AQ,Asimilar Group Plc,0.0625,0.0000,10.363M
2472,SONG.L,Hipgnosis Songs Ord,0.0625,+5.30,10.118M
2473,36EL.L,GlaxoSmithKline Capital plc 4% GTD SNR EMTN 16/06/25 EUR1000'8''REGS,0.0625,+0.11,15M
2474,API.L,abrdn Property Income Trust Ord,0.0625,-5.20,10.569M
2475,0HB1.IL,"Casino, Guichard-Perrachon S.A.",0.0391,-1.1449,13.231M
2476,QLT.L,Quilter plc,0.0391,+2.50,13.383M
2477,MRIT.L,Merit Group plc,0.0391,0.00,15.125M
2478,HMSO.L,Hammerson plc,0.0391,+1.26,16.32M
2479,HLN.L,Haleon plc,0.0391,+3.10,12.739M
2480,3SMI.L,GRANITESHARES FINANCIAL PLC GRA,0.0391,+0.0004,26.502M
2481,SMT.L,Scottish Mortgage Investment Trust plc,0.0391,+9.60,12.239M
2482,PHE.L,PowerHouse Energy Group plc,0.0391,-0.0100,12.451M
2483,BW80.L,,0.0391,0.00,82.2M
2484,SY11.L,,0.0391,-0.12,82.6M
2485,FB88.L,,0.0391,+4.24,0
2486,67UB.L,,0.0391,+29.61,81.8M
2487,LGEN.L,Legal & General Group Plc,0.0391,-1.10,11.959M
2488,JDL.XC,JD Sports Fashion Plc,0.0391,+19.05,11.238M
2489,0OI0.L,Archos S.A.,0.0391,-0.0071,12.864M
2490,OMI.L,Orosur Mining Inc.,0.0391,+1.2000,10.931M
2491,NEO.L,Paysafe Group Plc,0.0391,-0.0500,11.716M
2492,TW.L,Taylor Wimpey plc,0.0391,-3.20,10.853M
2493,0BDR.IL,Borr Drilling Limited,0.0391,+54.03,10.479M
2494,ANGS.L,Angus Energy plc,0.0391,-0.0500,10.485M
2495,ASLR.AQ,Asimilar Group Plc,0.0391,0.0000,10.363M
2496,SONG.L,Hipgnosis Songs Ord,0.0391,+5.30,10.118M
2497,36EL.L,GlaxoSmithKline Capital plc 4% GTD SNR EMTN 16/06/25 EUR1000'8''REGS,0.0391,+0.11,15M
2498,API.L,abrdn Property Income Trust Ord,0.0391,-5.20,10.569M
2499,ORCP.L,Oracle Power PLC,0.0391,+0.0005,10.344M
